scenario_id,part_index,trial_index,seed,true_snr_db,true_dt_s,true_freq_hz,message_text,cycle_utc
S1,9,0,758409719,15.1,0.2,1500,CQ Q1ABC FN42,2026-07-01T14:59:00Z
S1,9,1,1723470335,15.1,0.2,1500,CQ Q1ABC FN42,2026-07-01T14:59:15Z
S1,9,2,1581091521,15.1,0.2,1500,CQ Q1ABC FN42,2026-07-01T14:59:30Z
S1,9,0,758409719,15.1,0.2,1500,CQ Q1ABC FN42,2026-07-01T15:15:00Z
S1,9,1,1723470335,15.1,0.2,1500,CQ Q1ABC FN42,2026-07-01T15:15:15Z
S1,9,2,1581091521,15.1,0.2,1500,CQ Q1ABC FN42,2026-07-01T15:15:30Z
S1,9,0,758409719,15.1,0.2,1500,CQ Q1ABC FN42,2026-07-01T15:25:30Z
S1,9,1,1723470335,15.1,0.2,1500,CQ Q1ABC FN42,2026-07-01T15:25:45Z
S1,9,2,1581091521,15.1,0.2,1500,CQ Q1ABC FN42,2026-07-01T15:26:00Z
S1,9,0,758409719,15.1,0.2,1500,CQ Q1ABC FN42,2026-07-01T15:31:00Z
S1,9,1,1723470335,15.1,0.2,1500,CQ Q1ABC FN42,2026-07-01T15:31:15Z
S1,9,2,1581091521,15.1,0.2,1500,CQ Q1ABC FN42,2026-07-01T15:31:30Z
S1,9,0,758409719,15.1,0.2,1500,CQ Q1ABC FN42,2026-07-01T15:47:45Z
S1,9,1,1723470335,15.1,0.2,1500,CQ Q1ABC FN42,2026-07-01T15:48:00Z
S1,9,2,1581091521,15.1,0.2,1500,CQ Q1ABC FN42,2026-07-01T15:48:15Z
S1,0,0,913544046,-12.0,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:45:30Z
S1,0,1,68344610,-12.0,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:45:45Z
S1,0,2,205210819,-12.0,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:46:00Z
S1,1,0,1915168523,-8.1,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:46:15Z
S1,1,1,1105300121,-8.1,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:46:30Z
S1,1,2,1345625016,-8.1,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:46:45Z
S1,2,0,1491760006,-5.8,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:47:00Z
S1,2,1,546635023,-5.8,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:47:15Z
S1,2,2,714902369,-5.8,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:47:30Z
S1,3,0,474144144,-2.3,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:47:45Z
S1,3,1,1226819330,-2.3,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:48:00Z
S1,3,2,1182452760,-2.3,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:48:15Z
S1,4,0,184630235,0.4,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:48:30Z
S1,4,1,792672454,0.4,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:48:45Z
S1,4,2,2116022063,0.4,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:49:00Z
S1,5,0,528655056,3.5,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:49:15Z
S1,5,1,108725431,3.5,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:49:30Z
S1,5,2,2006277236,3.5,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:49:45Z
S1,6,0,147152921,6.6,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:50:00Z
S1,6,1,1953053430,6.6,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:50:15Z
S1,6,2,147567551,6.6,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:50:30Z
S1,7,0,1402667823,9.3,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:50:45Z
S1,7,1,1425587327,9.3,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:51:15Z
S1,7,2,718289455,9.3,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:51:30Z
S1,8,0,1206520285,12.8,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:51:45Z
S1,8,1,1462033172,12.8,0.2,1500,CQ Q1ABC FN42,2026-07-01T17:52:00Z
