scenario_id,part_index,trial_index,seed,appraiser,message_text,true_snr_db,true_dt_s,true_freq_hz,reported_snr_db,reported_dt_s,reported_freq_hz,matched,false_positive,cycle_utc
S4,0,0,1380025803,WSJT-X,CQ Q1ABC FN42,,0.0,,-1.0,-0.7,1499.0,True,False,2026-06-06T15:22:00Z
S4,0,1,1028796488,WSJT-X,CQ Q1ABC FN42,,0.0,,-2.0,-0.6,1499.0,True,False,2026-06-06T15:22:15Z
S4,0,2,1457782904,WSJT-X,CQ Q1ABC FN42,,0.0,,-1.0,-0.5,1500.0,True,False,2026-06-06T15:22:30Z
S4,1,0,1710814298,WSJT-X,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03,,0.0,,-16.0,-0.2,2100.0,True,False,2026-06-06T15:22:45Z
S4,1,1,1662193313,WSJT-X,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03,,0.0,,-18.0,-0.7,2700.0,True,False,2026-06-06T15:23:15Z
S4,1,2,196226190,WSJT-X,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03,,0.0,,-17.0,-0.4,900.0,True,False,2026-06-06T15:23:30Z
S4,2,0,139150452,WSJT-X,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05,,0.0,,,,,False,False,2026-06-06T15:24:00Z
S4,2,1,1124369827,WSJT-X,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05,,0.0,,,,,False,False,2026-06-06T15:24:15Z
S4,2,2,820497043,WSJT-X,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05,,0.0,,,,,False,False,2026-06-06T15:24:45Z
S4,3,0,11459573,WSJT-X,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05; CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05,,0.0,,,,,False,False,2026-06-06T15:25:15Z
